date,doctor_name,rating,comment
2017-09-07,Людмила Полехина,2.0,"""Врач был хорошим специалистом, но его общение было ужасным. Он разговаривал со мной свысока и не проявлял сочувствия."""
2017-02-28,Евгений Коротчин,1.0,"""Этот так называемый ""доктор"" был грубым, неопытным и совершенно не заботился о моем благополучии. Он пропустил мою травму и отправил меня домой, что привело к дальнейшим осложнениям."""
2017-05-04,Виктор Московских,2.0,"""Я ждал приема часами, только чтобы мне сказали, что у них нет времени меня осмотреть. Они даже не извинились за неудобства."""
2017-07-03,Виктор Московских,3.0,"""Врач был высокомерным и не слушал моих опасений. Он просто выписал рецепт и отправил меня домой, не объяснив, что со мной не так."""
2017-07-14,Алексей Швечков,5.0,"""Врач был достаточно компетентным, но его манера общения была отталкивающей. Он разговаривал со мной свысока и не проявлял сочувствия."""
2017-05-02,Евгений Коротчин,6.0,"""У меня было впечатление, что врач больше заботился о своей репутации, чем о моем здоровье. Он настаивал на ненужной процедуре, чтобы повысить свою статистику."""
2017-06-15,Виктор Московских,6.0,"""Персонал был дружелюбным и услужливым, но сам врач был небрежным. Он не уделил мне достаточно времени и не ответил на мои вопросы."""
2017-04-13,Алексей Швечков,4.0,"""Врач был хорошим специалистом, но его общение было ужасным. Он использовал слишком много медицинской терминологии и не объяснял вещи простым языком."""
2017-04-06,Евгений Коротчин,1.0,"Ужасный врач! Он был груб, неуважителен и некомпетентен. Он не слушал меня и не заботился о моей боли. Он поставил мне неправильный диагноз, что привело к ухудшению моего состояния."
2017-02-17,Евгений Коротчин,2.0,"Я не был впечатлен его знаниями или навыками. Он не смог поставить мне правильный диагноз. Мне пришлось обратиться к другому врачу, чтобы получить надлежащее лечение."
2017-08-08,Людмила Полехина,6.0,"Он был достаточно хорош, но не выдающийся. Мне пришлось обратиться к другому врачу, чтобы получить лучшую помощь."
2017-05-30,Алексей Швечков,4.0,Он был компетентным и знающим. Однако не был особенно дружелюбным.
017-05-31,Людмила Полехина,8.0,Он поставил мне правильный диагноз и назначил эффективное лечение. Он также был дружелюбным и сострадательным.
2017-12-08,Маргарита Всемудрова,10.0,Он был отличным врачом. Он также был дружелюбным и понимающим.
2017-11-14,Евгений Коротчин,7.0,"Он был выдающимся врачом. Он поставил мне правильный диагноз и назначил эффективное лечение. Он также был дружелюбным, сострадательным и понимающим. Кроме того, он был очень опытным и знающим."
2017-03-07,Евгений Коротчин,10.0,Он был исключительным врачом
2017-05-08,Алексей Швечков,10.0,Феноменально.
2017-12-20,Никита Киреенков,10.0,"Он был лучшим врачом, которого я когда-либо встречал. Он поставил правильный диагноз и назначил хорошее лечение. Он также был дружелюбным, сострадательным и понимающим. Кроме того, он был очень опытным, знающим, умелым, преданным своему делу и вдохновляющим."
2017-02-03,Евгений Коротчин,1.0,"Я никогда не встречал такого ужасного врача. Он был груб, высокомерен и совершенно не заботился о моем благополучии. Он поставил мне неправильный диагноз и назначил неправильное лечение, что привело к ухудшению моего состояния."
2017-04-16,Маргарита Всемудрова,2.0,"Я был очень разочарован этим врачом. Он не смог поставить мне диагноз. Мне пришлось обратиться к другому врачу, чтобы получить надлежащую помощь."
2017-01-20,Алексей Швечков,6.0,Врач был компетентным и знающим. Он поставил мне диагноз и назначил лечение. Но был не особенно дружелюбным.
2017-05-26,Людмила Полехина,10.0,Отлично. Поставил правильный диагноз
